0,1,2,3,4,5,6,7,8,9,10,11,12
https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1&l=english,Counter-Strike 2,2012-08-21,Valve,"['Action', 'Free To Play']",Free To Play,0%,1,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",Very Positive,"9,520,984",Mostly Positive,"94,548"
https://store.steampowered.com/app/3321460/Crimson_Desert/?snr=1_7_7_230_150_1&l=english,Crimson Desert,2026-03-19,Pearl Abyss,"['Action', 'Adventure']",4299 руб.,0%,1,"['Open World', 'Action', 'Singleplayer', 'Adventure', 'Exploration', 'Combat', 'Dragons', 'Action-Adventure', 'Medieval', 'Third Person', 'Fantasy', 'RPG', 'Horses', 'Choose Your Own Adventure', 'Story Rich', '3D', 'PvE', 'Artificial Intelligence', 'Gore', 'Souls-like']",Very Positive,"78,641",,
https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1&l=english,Dota 2,2013-07-09,Valve,"['Action', 'Strategy', 'Free To Play']",Free To Play,0%,2,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'Tower Defense', 'RPG', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",Very Positive,"2,692,802",Mixed,"20,733"
https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1&l=english,Rust,2018-02-08,Facepunch Studios,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",1699 руб.,0%,5,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Post-apocalyptic', 'Early Access', 'Simulation']",Very Positive,"1,123,667",Very Positive,"11,552"
https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_230_150_1&l=english,ARC Raiders,2025-10-30,Embark Studios,['Action'],3220 руб.,0%,3,"['Extraction Shooter', 'Multiplayer', 'PvP', 'PvE', 'Third-Person Shooter', 'Post-apocalyptic', 'Online Co-Op', 'Shooter', 'Survival', 'Sci-fi', 'Atmospheric', 'Third Person', 'Crafting', 'Inventory Management', 'Action', 'Open World', 'Combat', 'Futuristic', 'Character Customization', 'Realistic']",Very Positive,"273,796",Mostly Positive,"14,205"
https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_230_150_1&l=english,PUBG: BATTLEGROUNDS,2017-12-21,PUBG Corporation,"['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']",Free To Play,0%,0,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']",Mixed,"2,696,990",Mostly Positive,"16,060"
https://store.steampowered.com/app/2868840/Slay_the_Spire_2/?snr=1_7_7_230_150_1&l=english,Slay the Spire 2,2026-03-05,Mega Crit,"['Indie', 'Strategy', 'Early Access']",1099 руб.,0%,0,"['Strategy', 'Roguelike', 'Card Game', 'Deckbuilding', 'Co-op', 'Roguelike Deckbuilder', 'Multiplayer', 'Turn-Based Combat', 'Card Battler', 'Indie', 'Dungeon Crawler', 'Roguelite', '2D', 'Early Access', 'Difficult', 'Singleplayer', 'Fantasy', 'Replay Value', 'Procedural Generation', 'Mouse only']",Very Positive,"98,100",Mostly Positive,"85,514"
https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_230_150_1&l=english,Euro Truck Simulator 2,2012-10-18,SCS Software,"['Indie', 'Simulation']",12129 руб.,-75%,106,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Immersive Sim', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']",Overwhelmingly Positive,"726,139",Overwhelmingly Positive,"7,156"
https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_1&l=english,Team Fortress 2,2007-10-10,Valve,"['Action', 'Free To Play']",Free To Play,0%,1,"['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']",Very Positive,"1,224,160",Very Positive,"7,490"
https://store.steampowered.com/app/3527290/PEAK/?snr=1_7_7_230_150_1&l=english,PEAK,2025-06-16,Team PEAK,"['Action', 'Adventure', 'Indie']",359 руб.,-38%,0,"['Multiplayer', 'Online Co-Op', 'Co-op', 'Physics', 'Exploration', 'Adventure', 'First-Person', 'Comedy', 'Procedural Generation', '3D', 'Atmospheric', 'Action Roguelike', 'Action', 'Time Management', 'Character Customization', 'Horror', 'Platformer', 'Mystery', 'Investigation', 'Survival Horror']",Very Positive,"250,404",Very Positive,"9,524"
